,price
0,325625.6868490573
1,143221.92271482592
2,289394.39022831636
3,312470.3482081745
4,342857.5910768961
5,604885.1857274892
6,371972.06628275325
7,478536.77089994174
8,251671.8813018145
9,262415.7678045325
10,775655.7187766113
11,300471.745713464
12,721950.7234675953
13,394082.9415381622
14,1389125.7322315788
15,300246.35445105267
16,188746.64041446164
17,610486.1742218253
18,724300.0859619008
19,543429.4065806638
20,236886.5820304142
21,295105.972108728
22,396863.7474186194
23,3051116.5399101023
24,259826.14519961138
25,280307.17148635344
26,221408.68787215813
27,906409.7325567792
28,427469.4226114021
29,452001.32793135336
30,189393.72860683105
31,275711.245471783
32,408139.82018495176
33,706212.7936018812
34,603221.7779145922
35,528461.7935528738
36,471424.5947724969
37,285775.4789204809
38,745779.5092776861
39,351195.160726252
40,363908.2991494961
41,367302.3840560553
42,425861.49532808183
43,407072.6180557403
44,539835.2533867422
45,743336.5547353253
46,503874.277254406
47,426734.72329261334
48,335165.44153286214
49,355372.7993485879
50,362015.0829939257
51,344790.21499245334
52,682934.6495010847
53,733857.623114967
54,233555.30443684905
55,590100.3352872957
56,695285.5104641478
57,339970.46771544754
58,564272.2189140581
59,234041.83058580515
60,833939.045205871
61,557297.97478498
62,310268.7391080807
63,485011.6757875768
64,498714.1362413471
65,747921.8926484783
66,339984.0750040049
67,484314.4816979279
68,417326.5164463647
69,387674.5072814252
70,270617.46209271305
71,1135905.003353912
72,881580.0381027646
73,1180577.1336417412
74,425266.5491548642
75,221195.64507783012
76,1056573.659097849
77,609556.1295219841
78,527127.2448451186
79,580743.2243133073
80,668778.9641805682
81,506464.38310114166
82,195213.96376583425
83,553382.6559420836
84,2405817.245402349
85,684152.721112844
86,203391.7339516052
87,815188.1253480237
88,221601.94445437807
89,791797.346206706
90,851172.5577214691
91,488857.85694547376
92,459098.22741836443
93,236567.44156153215
94,350862.29001590057
95,323885.57998587226
96,326816.009197796
97,478258.40146894485
98,343754.7122623167
99,349570.2859492311
100,1061858.6544116042
101,324693.1026210039
102,223026.28167026435
103,361239.72201039427
104,481749.52107247926
105,321071.574192236
106,273633.85201393015
107,459996.73973044707
108,301842.8507715015
109,254694.86004761906
110,574613.143675444
111,515059.0179709005
112,896955.3712402238
113,428231.8817072702
114,290954.1275940759
115,911541.3308889215
116,710798.684850829
117,670127.2173193757
118,944826.0921861596
119,348944.70953284967
120,322664.37917747005
121,290107.71223330864
122,325708.94610253605
123,339670.79380202433
124,850970.7602039932
125,597706.4106484235
126,885233.6609804844
127,829084.8936321336
128,687938.685236356
129,217759.36488514222
130,484117.185467804
131,554245.8921175004
132,409484.34048983187
133,529340.2338259293
134,356729.78336867364
135,487511.89488337055
136,657678.5421045108
137,301733.28888081416
138,724440.4289018611
139,336432.3197088359
140,529565.8148684859
141,297770.46187333605
142,652666.8316256108
143,1155338.8740209902
144,258475.34477334455
145,284872.5418060574
146,246054.63025824275
147,363332.4556791222
148,332783.84791937505
149,314716.5279069691
150,1474356.3740956404
151,688083.4860118671
152,374648.0140279138
153,252252.71012306632
154,1012340.8444766138
155,423915.360846886
156,1470714.2594797465
157,229113.21442207656
158,506038.57317055255
159,359745.34152406704
160,450877.24508747435
161,404343.5372044416
162,909414.2476419975
163,567128.5067229163
164,833956.9481009156
165,473755.8520659398
166,476367.23131910805
167,461494.6500078396
168,782851.5736779774
169,455098.1170252219
170,456396.6674552738
171,457986.4866588916
172,581728.6136086872
173,694103.3362317816
174,242824.17352588152
175,273051.9707098039
176,423034.48632069066
177,284227.7403581095
178,528716.8907131362
179,497028.90251118044
180,332689.95894451893
181,1327212.1908323013
182,373918.08598285797
183,421769.01177458087
184,503140.6168779012
185,362264.5285540282
186,606484.8733164984
187,608875.9132372747
188,451353.095694025
189,936600.5921340124
190,313222.6664588925
191,438800.26237749885
192,718056.5599200823
193,500952.584274003
194,1420344.0145186353
195,537374.1096942245
196,326459.5959050062
197,218850.2683263975
198,221019.23791621462
199,376826.1693901681
200,407503.17334430147
201,453820.45895123796
202,1173378.4122779283
203,595995.6156804631
204,314375.4620166544
205,214970.9155909867
206,245787.62780949878
207,216159.92004946314
208,655251.1299103514
209,506261.28749945166
210,866687.7890879519
211,393255.6358399937
212,605687.0592058685
213,377982.4931472905
214,766204.4063629063
215,320456.3693114757
216,568687.5233617622
217,514720.76378783927
218,284630.2622570759
219,481176.28586624895
220,415463.4906410986
221,683471.2215034063
222,382433.44663366885
223,502688.30212947
224,661407.755189421
225,450672.1392761112
226,1112371.5411363975
227,328862.4371004834
228,396048.1234175718
229,1125068.1125778267
230,579568.7664174176
231,511865.66131441324
232,252259.43612527745
233,473607.68920964916
234,1064483.6563116033
235,336280.66474019137
236,533779.0182437801
237,999740.704318724
238,3458925.04368087
239,802706.6389671699
240,242813.96893387023
241,329994.03073639015
242,666240.8068584533
243,228185.86249480207
244,216667.3167409769
245,518695.8512153115
246,299268.3873119081
247,347548.9819442978
248,364506.0434616535
249,555232.1049878129
250,227651.83644129973
251,480487.25965280796
252,547761.7111811553
253,331147.80582146026
254,369967.69070405606
255,401076.6770941641
256,354034.18959092436
257,399022.55133317
258,454484.9864817112
259,725116.9418996582
260,473672.1080379717
261,1071136.9062384807
262,193627.68401775704
263,601026.4962273918
264,405712.40765368997
265,627099.8785844597
266,505256.0746270237
267,535673.833588434
268,326787.9133976926
269,383477.0998473077
270,1065877.9393813123
271,769412.5501142237
272,315721.8823043991
273,837324.5240862728
274,295527.76309338916
275,328578.3414550288
276,1037403.3362556581
277,359801.04935330275
278,250532.81873492667
279,328367.0260391817
280,459793.6167953746
281,1310768.630533175
282,233189.82511512813
283,713375.010633101
284,541079.6239379125
285,511598.2574985027
286,478748.8520174782
287,464550.61369883525
288,545754.8361375557
289,803213.8765460601
290,355273.49174076394
291,325892.9217880665
292,1560083.1093101867
293,637694.1768503985
294,1336753.1641416564
295,967071.5920033162
296,452541.7905542139
297,466918.1733164035
298,660869.2037501861
299,182095.30966671443
300,1000379.8163935535
301,259362.6072175675
302,676772.3221833104
303,469498.8170837251
304,356042.9917252303
305,618620.3382812038
306,527370.5201212858
307,1246160.757553721
308,647194.6062343467
309,243242.07355396834
310,461551.24494700984
311,233858.34725578091
312,507056.3501416314
313,1458562.8615033142
314,223401.67170981862
315,159172.73044952305
316,431284.5118134273
317,373616.0588798021
318,548420.9337779423
319,251039.86680452793
320,747623.6424274069
321,1114066.3681228522
322,553656.9386445539
323,2293862.96903972
324,384266.6411709244
325,216212.69533312865
326,434155.3106673726
327,1033832.5689774794
328,281229.4065644176
329,251725.8226688894
330,530227.7388794775
331,366132.6629618147
332,405879.0123254904
333,536910.2900578047
334,491282.96039649186
335,262407.7112347852
336,406691.2214668814
337,1087480.9274733567
338,304398.6830922234
339,233508.32129763596
340,572222.2033165629
341,408860.3290151673
342,461205.42978400324
343,515850.3381765837
344,183801.1273282066
345,360172.63868288026
346,1093990.4541390294
347,579596.9558453008
348,674539.6643344525
349,311427.6375927248
350,893749.7793692339
351,332360.4749460118
352,300717.9761611429
353,742538.955162672
354,226436.8055341469
355,320238.6661296278
356,373356.73429603584
357,161091.11305895215
358,570095.869300898
359,406932.3414493734
360,598646.2953860447
361,702280.2093217532
362,1082624.0258493128
363,678212.7320380538
364,488050.23616793595
365,317712.3018225317
366,554245.9546724999
367,559567.45269635
368,358338.9008578707
369,181973.78477653593
370,508948.5225942993
371,303770.5486913791
372,747999.639127934
373,580264.5381370608
374,477838.0129217286
375,671394.6803526613
376,601918.0341017788
377,553363.6287217618
378,761733.5215127092
379,718925.6388338641
380,613855.8220639265
381,499282.5106952598
382,209678.0896848442
383,154501.36981853275
384,700945.1349531013
385,585811.9789025814
386,346960.09695422754
387,206481.7666886292
388,566392.5645971211
389,390057.9072265379
390,435097.06343360967
391,508262.3133554603
392,2034254.5126772518
393,350124.4185496432
394,507179.98461082036
395,1145873.8222420628
396,858098.0732302911
397,499261.8020590059
398,312836.80740029365
399,207064.76145465032
400,411734.05732984777
401,261795.39065704573
402,285537.00253357214
403,597585.9665334618
404,593534.8064761457
405,532006.4912224449
406,497909.394011243
407,389112.27740488556
408,319742.18935125467
409,829669.4456711039
410,604883.2012825698
411,284272.135138004
412,3399331.6592175346
413,461680.8318800413
414,415048.85386623914
415,760067.3283435629
416,881559.2788858975
417,227791.49423672544
418,896153.86359316
419,933161.8791274081
420,1187498.5629363842
421,445987.7519637324
422,493874.3380332819
423,510495.6878266402
424,313891.42978354444
425,329525.8284276895
426,695713.0256939962
427,762913.418449863
428,253177.95072370747
429,528507.0973633771
430,391930.6035423895
431,1948566.0096847254
432,407736.9182909632
433,581355.4497248052
434,347868.39728453505
435,400376.8080786312
436,220191.7375617713
437,559922.1411958743
438,1741090.9796078461
439,689101.8379246725
440,1389138.6992847598
441,458903.8326092312
442,863074.8991988236
443,337585.9241289287
444,492590.55154805916
445,422708.21479769377
446,588863.4461162434
447,434478.7680540002
448,879001.5348163721
449,541392.8580113992
450,1003525.948923005
451,205227.3907205921
452,688204.5526526682
453,681160.2140042044
454,556778.0615442896
455,364120.1889447413
456,714602.7177515078
457,1093139.5688092133
458,418949.4445603954
459,2235885.41986989
460,1151109.2326211098
461,416756.5484382065
462,506489.3904613995
463,308482.2998011835
464,960233.7846263957
465,455642.71628217876
466,332545.43387055636
467,640367.8859519457
468,292669.6561752465
469,367111.20396708144
470,315669.3397637545
471,216617.35560221164
472,658851.4719977824
473,360968.1587653445
474,303431.4638925085
475,266408.32705530274
476,419972.05740689934
477,413040.1600514129
478,351776.88491287816
479,412973.25810425665
480,377104.759450365
481,305669.1614207353
482,448652.49766637624
483,411138.057532722
484,589962.9849769012
485,582763.9690979198
486,224035.8234937663
487,505610.6283378737
488,331785.90651489014
489,452119.4444011267
490,470410.04382353445
491,932147.1991535212
492,971499.1012861324
493,272875.35988640675
494,309270.20061000314
495,307594.7630574341
496,306423.7698968659
497,263698.442859882
498,291697.3988469419
499,505871.5156030497
500,275197.39816774346
501,722279.9652674999
