,price
0,340326.5194064462
1,165999.61605624948
2,306830.00379154854
3,344778.8932129936
4,342102.1099626353
5,541730.1231945162
6,377006.88611578365
7,425958.48490631685
8,257592.58219898108
9,253367.7962650808
10,722480.1530752451
11,317007.9725234783
12,815376.1700401045
13,353507.805275967
14,1253601.4724548988
15,285669.22542320914
16,202217.14004548755
17,708314.6091122235
18,638355.2865693448
19,575687.9073531824
20,223300.85359892808
21,307672.1009939464
22,380819.6149205695
23,2262567.4121464742
24,248681.22297209973
25,245803.15041196052
26,250205.8877191789
27,778074.7882548842
28,391122.0296588884
29,394222.6536363422
30,174055.7583651398
31,277391.5703414391
32,382890.8705017669
33,832270.0900651168
34,630011.6248678965
35,562242.1691513582
36,471285.4070676156
37,297528.86616610986
38,802958.2423836289
39,348102.49042988167
40,340212.7285649631
41,375852.84443913633
42,409992.0171969148
43,370764.6454664411
44,464339.1388770555
45,873260.3539964764
46,524958.756689076
47,536528.8507595771
48,379431.66332322895
49,296407.67017463606
50,411046.80481910077
51,402472.9797215096
52,583957.2870094584
53,654683.3073931235
54,204136.3787232054
55,615860.058735376
56,657565.9289504533
57,372783.71136354347
58,537246.0117936984
59,253060.0526705086
60,795744.4755254122
61,524936.1233029539
62,321348.6137754387
63,495140.55292205955
64,923273.3532213027
65,757954.1011416331
66,304628.04045865755
67,506671.17479543516
68,621199.6917048538
69,424027.7425190973
70,230503.17821128498
71,1250500.0718793056
72,898296.2338155289
73,1198221.645595041
74,447185.8059951781
75,280117.89920947555
76,1105678.3544042546
77,549969.2985882974
78,547741.0545483439
79,483039.9253116015
80,501399.8788166061
81,491636.4182626836
82,219302.06694777295
83,590755.3449068114
84,1846113.9582617541
85,579736.8934929285
86,233348.6381114564
87,868716.236773143
88,235847.09760858899
89,732809.7395086696
90,868711.5738419156
91,484844.67908324813
92,424702.4441012092
93,223561.6228201729
94,323439.19917758484
95,344103.1553343388
96,319408.5099488993
97,529104.2092888019
98,349104.8525981417
99,329800.92866850394
100,1116079.182012065
101,331880.70150629664
102,239119.1480844176
103,335910.7214741423
104,454325.18751300155
105,349657.6995068922
106,276935.735147407
107,462105.2151417477
108,322761.3989471304
109,279835.59063703544
110,558224.1480689665
111,559807.9520455237
112,855327.9032871805
113,426282.61658694706
114,295543.66334498645
115,812317.4329176024
116,671454.8054795943
117,564632.7016914516
118,793813.5480833455
119,366152.6397827055
120,333634.5683727913
121,311679.8849531894
122,308981.8395056638
123,281989.41543978086
124,808760.177503203
125,593806.5166998932
126,889667.5796670548
127,778863.5360659492
128,786632.9098513616
129,234448.8499174062
130,479739.5333945926
131,445396.72192151815
132,289478.9091955848
133,566319.7903538399
134,399769.08423035307
135,463628.4490650392
136,620155.6326551758
137,305392.5055767899
138,687015.1806554277
139,391314.222296548
140,439140.73615458235
141,284774.42753517587
142,600580.9161244011
143,1489895.3276472436
144,282422.97230309277
145,327990.79656300246
146,345539.6766477423
147,356427.576305072
148,324115.37061845773
149,294682.4828528466
150,1410384.8695095414
151,696448.9638811034
152,379863.32601686043
153,245800.20377328133
154,1065134.8240921767
155,411300.9316643672
156,1280011.1127314938
157,229802.8253061387
158,525367.5723598984
159,308476.1853852009
160,455175.33025952714
161,417947.06341737165
162,842168.9645183766
163,640952.3711619995
164,903358.1783341825
165,433800.78539880464
166,789487.3326088585
167,455869.6292216003
168,783714.4559788402
169,472571.85017510946
170,543613.8383479727
171,420365.0041250597
172,675612.7891432992
173,664323.8259483207
174,181859.4805838014
175,291161.42454003275
176,449865.24834597646
177,305801.2678643174
178,517838.90393491735
179,510598.61762249586
180,367761.3598581747
181,1570363.6361714737
182,359474.721240124
183,443388.2598999901
184,443526.34043132735
185,339216.2746154886
186,572415.2886657985
187,514032.1518478883
188,445580.1871600987
189,1071021.7803084597
190,318496.09016986383
191,408664.6630476963
192,756649.04563137
193,472022.20601862593
194,1385098.7054073606
195,633759.7339059943
196,311621.3785912733
197,247672.67210613177
198,266393.0360224977
199,383782.9270587801
200,337608.3423551492
201,470579.47805086116
202,1091856.5605267163
203,607852.6328532256
204,320849.41474637506
205,217372.99635748152
206,223815.00871499363
207,207844.72365496046
208,807585.2754579681
209,538226.4715010744
210,816054.2092870893
211,388256.1161606835
212,565112.0310186995
213,455163.7822696624
214,816027.3878263817
215,332498.78512031643
216,601219.8952112629
217,672079.6059099275
218,267582.4241912474
219,484185.09909185633
220,415849.58649384545
221,686904.1975579564
222,420267.45395560947
223,416097.3313608843
224,616060.5858808475
225,400555.68945972936
226,1101808.5979627073
227,293386.9056340714
228,373311.82595495525
229,1082648.0214060629
230,540346.0313895879
231,521084.5823056074
232,252283.29810481463
233,538902.4255969273
234,1088015.9304307548
235,337239.3133830956
236,558318.0756693055
237,1110473.0449472398
238,3170027.6157959863
239,757452.6499417513
240,328345.50114804617
241,302256.7481924876
242,666999.9636350935
243,210613.3591952536
244,208403.33475519862
245,559967.5223688785
246,296128.29785326304
247,376918.6207864395
248,375225.1186396257
249,532199.00563701
250,227744.48844742842
251,366498.65983835794
252,588948.2832618268
253,305544.98084471823
254,258644.49876233726
255,414138.5090148349
256,329244.2153178961
257,367776.81500975194
258,414318.4614886198
259,699066.0871522974
260,467020.2789321527
261,991239.2729178587
262,251480.20340809075
263,625317.9163454503
264,430321.19003316975
265,548463.529558671
266,553980.7073177942
267,908924.5801147246
268,307327.4991058863
269,298013.12239426695
270,1201296.1955291815
271,786171.3741781987
272,316087.96712965675
273,960964.9159318566
274,357857.0397546112
275,325588.3644509815
276,1012829.7823858463
277,350865.8120803893
278,248939.1066360421
279,303343.249764543
280,459441.01882776024
281,1411614.5978858129
282,247711.7692050844
283,811033.8259420104
284,539278.454908237
285,534041.0377685571
286,467869.4579929363
287,458450.8903164268
288,585272.4399328891
289,795422.5718801232
290,330914.5198275167
291,347714.20279112266
292,1440111.142182512
293,627372.5272520698
294,1166751.0060437901
295,798057.4021356006
296,329218.4004144983
297,392999.545937308
298,755609.4580539813
299,198667.32133800848
300,941353.8578093874
301,235745.8469948608
302,673435.4322553425
303,448606.8900879574
304,414307.5844559279
305,612341.402579349
306,555206.1553410138
307,1240886.7227612038
308,615841.6155215407
309,268237.00947386835
310,499020.3869385268
311,234436.54737456908
312,523579.86038775026
313,1547374.074133325
314,224732.22348749381
315,190014.28930200296
316,416873.2451949633
317,322965.3226958653
318,535098.3916001978
319,319300.6450527653
320,755224.7662839431
321,910665.0339115309
322,552289.4935370608
323,1953943.3491462849
324,340545.5529314021
325,221684.39725068834
326,452083.27089286334
327,934918.0801018581
328,265332.0686135471
329,278451.78099183354
330,507265.04650864133
331,376943.5109020239
332,486213.72601529903
333,531562.784894924
334,482944.299179651
335,263610.69407915033
336,448943.3279274549
337,1189432.8501673187
338,344495.5331544523
339,245825.36456188606
340,626041.0905734582
341,382198.57399508485
342,472249.528344235
343,552194.5626646365
344,218705.80391581255
345,350275.4594781218
346,1214416.9354509686
347,610948.7133424871
348,715848.6980101019
349,322940.05713695905
350,904566.7599686502
351,329386.2662023443
352,302586.8148442421
353,651553.9998169334
354,218800.31859662378
355,295764.68224356265
356,347408.139764645
357,277465.3737011023
358,693316.6313431646
359,379002.1358112297
360,564828.6876594422
361,681920.855618102
362,953219.0053689701
363,704846.1685933348
364,491465.59584890434
365,311487.2961108344
366,595791.3073740038
367,555194.0911607202
368,311796.4089908053
369,205259.91757541825
370,459777.63630703377
371,306385.10567057255
372,767582.6238465465
373,562791.5554695805
374,475656.1081931382
375,605253.1222289238
376,557620.0311296287
377,563945.2384828127
378,671561.7100625206
379,697652.5128460786
380,698873.8407599675
381,532464.4551732877
382,213651.40579320551
383,199685.83833530406
384,726160.5263301784
385,471514.27117666416
386,337136.5239593115
387,250635.31124127837
388,771413.7062957041
389,331211.1281759296
390,357184.984765874
391,639056.0665891712
392,1972533.1678413446
393,324781.2530839996
394,502412.36044875946
395,1115828.3247493748
396,653001.3381500216
397,487114.9613553108
398,299871.04093827883
399,222257.03824520062
400,407989.8227638369
401,264397.43529950624
402,284222.4265302018
403,597580.4981220682
404,565369.1966591419
405,453955.92948868434
406,530530.1644828476
407,451613.2804498467
408,363171.7247022965
409,747312.7783276617
410,642452.9678282214
411,338029.90628769033
412,1691096.9874087095
413,467301.4095616923
414,468434.930381285
415,784630.1665568028
416,745181.9832715881
417,255814.66636514466
418,862614.5484834865
419,940578.2301534483
420,1154400.5137682885
421,543680.181534818
422,536961.961394244
423,463714.6060903471
424,312790.62916020956
425,310581.3937232545
426,632887.2859452872
427,800196.8806316187
428,242859.4173122552
429,616417.9694505133
430,349873.85861184006
431,1683543.915871692
432,376640.5593878518
433,571280.379593792
434,404441.9428972087
435,500974.05852004595
436,221029.1508818145
437,559011.3507037732
438,1259970.181461219
439,790448.1694632585
440,1326571.1306607325
441,449269.2466952321
442,885711.6739169791
443,311874.01919926464
444,557121.2540529335
445,403962.6360503531
446,486149.3740925849
447,470237.63101776375
448,918041.576533532
449,515495.44591241225
450,942063.1884070307
451,225101.84514206625
452,660858.247353354
453,602280.0255422813
454,601592.6104580364
455,350887.33502029494
456,675855.6904843878
457,1238544.546314086
458,384032.76573300944
459,2301949.70597245
460,1023996.0341243609
461,445765.60217938316
462,558210.2097105377
463,312088.0720227711
464,885370.2403753495
465,415586.67932205874
466,319978.65091162134
467,695144.5012551616
468,324771.32211755094
469,349443.92745387513
470,364985.7969103429
471,192431.29744970257
472,530836.9301320469
473,469116.07088474854
474,292700.1317233271
475,273837.09558438533
476,407354.0214342164
477,463008.15401735605
478,429156.7185504774
479,365634.3553663204
480,378695.46083817765
481,297084.6575226371
482,439764.1529056154
483,448999.8296533534
484,654115.5320421566
485,615057.2652382555
486,211179.06913265187
487,505862.0960096186
488,369636.5313195693
489,489917.716799524
490,482281.6238748271
491,901655.239403613
492,1082044.3037907623
493,266302.7770207322
494,336830.51895306556
495,322576.0417821965
496,272021.0455149075
497,310355.37560003466
498,308263.6375015593
499,467774.0007482801
500,290664.7084621961
501,671753.4937590032
502,532158.0142073533
503,356718.20022168517
504,492644.75658280676
505,1057448.367229379
506,656072.9381767444
507,1045190.9484330306
508,306685.8057102282
509,404793.6411517853
510,434245.4649043505
511,241807.9852407348
512,240084.12773959624
513,260516.24164334574
514,675468.2310669122
515,671341.4655635309
516,289710.9229632915
517,444370.0648634852
